quantity,grid_Multiingest_0095_6565_20690,grid_Multiingest_0095_6565_21092,grid_Multiingest_0095_6565_21160,grid_Multiingest_0095_6565_21430,grid_Multiingest_0095_6565_KW_21550,grid_Multiingest_0095_6565_WD_21550
"SPMC_(0.0,_3.0]_ci_lower",0.006443933858624151,0.012243594939012049,0.010088620395479031,0.011311825212259291,0.006340131495767287,0.003269328596334282
"SPMC_(0.0,_3.0]_ci_upper",0.41041725232665466,0.7902110289368204,0.6487715613362727,0.7277767156923147,0.4032926778883434,0.2115285674225664
"SPMC_(0.0,_3.0]_mean",0.06719832048003148,0.12852579916862197,0.10571273851055121,0.11855792305024719,0.06607408428659582,0.034360792986972394
"SPMC_(0.0,_459.0]_ci_lower",6.617149513102609,5.05825951279274,5.713163502085325,5.212977369040952,6.517681350163816,8.815811586446683
"SPMC_(0.0,_459.0]_ci_upper",70.39833715937193,53.811509749775276,60.781162779398144,55.456767650266855,69.33659180126806,93.81062784944025
"SPMC_(0.0,_459.0]_mean",27.178555900067746,20.775326144291608,23.46564714068992,21.41065258590495,26.769330868753098,36.21319782168027
"SPMC_(20.0,_200.0]_ci_lower",0.500443018028573,0.3442499757596166,0.4114819608838318,0.35858703843316214,0.48684667068921506,0.742383685417736
"SPMC_(20.0,_200.0]_ci_upper",7.28080943268519,5.008078246478372,5.9864696734664165,5.216598984365539,7.082534371647547,10.802848728104049
"SPMC_(20.0,_200.0]_mean",2.3245546262099603,1.598987712396658,1.9113200112783777,1.6655728553162543,2.2613254055347713,3.448704385241656
"SPMC_(200.0,_459.0]_ci_lower",0.025105561633857874,0.02387242333210418,0.02436556264511517,0.0240140159465417,0.025070079504342587,0.026500102311759928
"SPMC_(200.0,_459.0]_ci_upper",1.4265744766819928,1.3564363522543144,1.3845304472913136,1.364451970194208,1.424484942208439,1.5065444256989464
"SPMC_(200.0,_459.0]_mean",0.230798546344264,0.2194567005407739,0.22399604786107205,0.22075594372451998,0.23046642692872182,0.24367760526550597
"SPMC_(3.0,_20.0]_ci_lower",0.8044553797881517,0.4895812462536271,0.628542142707805,0.5157649137145144,0.7663880640107783,1.3399372169754726
"SPMC_(3.0,_20.0]_ci_upper",6.67280707728976,4.060657862107674,5.213498797652584,4.27779375395234,6.356517100501588,11.116023850475043
"SPMC_(3.0,_20.0]_mean",2.8225609013948154,1.7177052830005626,2.2053113057882165,1.8095637330605179,2.688883840757056,4.701701180072538
SPMC_assemblage_sum_ci_lower,1.3364478933092063,0.8699472402843591,1.0744782866322307,0.9096777933064784,1.2846449457001037,2.1120903333013032
SPMC_assemblage_sum_ci_upper,15.7906082389836,11.215383489777187,13.233270479746583,11.586621424204376,15.266829092245917,23.63694557170066
SPMC_assemblage_sum_mean,5.445112394429071,3.6646754951066187,4.446340103438221,3.814450455151531,5.246749757507148,8.428443963566682
