Size_bin,Lower,Upper,Median
1,1,1.48,1.21
2,1.48,1.74,1.6
3,1.74,2.05,1.89
4,2.05,2.42,2.23
5,2.42,2.86,2.63
6,2.86,3.38,3.11
7,3.38,3.98,3.67
8,3.98,4.7,4.33
9,4.7,5.55,5.11
10,5.55,6.55,6.03
11,6.55,7.72,7.11
12,7.72,9.12,8.39
13,9.12,10.8,9.9
14,10.8,12.7,11.7
15,12.7,15,13.8
16,15,17.7,16.3
17,17.7,20.9,19.2
18,20.9,24.6,22.7
19,24.6,29.1,26.7
20,29.1,34.3,31.6
21,34.3,40.5,37.2
22,40.5,47.7,43.9
23,47.7,56.3,51.9
24,56.3,66.5,61.2
25,66.5,78.4,72.2
26,78.4,92.6,85.2
27,92.6,109,101
28,109,129,119
29,129,152,140
30,152,180,165
31,180,212,195
32,212,250,230
33,250,297,273
34,297,354,324
35,354,420,386
36,420,500,459
